epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1938,1.05369,2.246,1.29096,0.92296,0.99838,0.98637,0.80108,0.85504,1.91514,1.23723,0.0003334,0.0003334,0.0003334
2,27.8675,1.00006,1.3274,1.26351,0.00067,0.10417,0.00037,0.0001,3.31042,inf,10.6088,0.000682117,0.000682117,0.000682117
3,35.5809,1.10199,1.16918,1.3451,0,0,0,0,3.5395,inf,9.9129,0.00102945,0.00102945,0.00102945
4,42.9139,1.09278,1.04197,1.33161,0.08197,0.10417,0.06033,0.02162,2.74191,19.9024,5.11437,0.00137539,0.00137539,0.00137539
5,50.2483,1.13315,1.09437,1.34997,0.85714,0.25,0.56009,0.30139,1.75287,10.6916,2.1452,0.0016538,0.0016538,0.0016538
6,57.6102,1.12705,1.02466,1.31553,0.72924,0.89779,0.89269,0.54433,1.08231,6.41811,2.04076,0.0016505,0.0016505,0.0016505
7,65.0372,1.14935,1.01202,1.35559,0.57565,0.6875,0.57438,0.36401,1.33055,3.37346,1.95697,0.0016472,0.0016472,0.0016472
8,72.787,1.12862,1.01426,1.33818,0.79287,0.95698,0.91259,0.53875,1.22669,2.19666,1.54344,0.0016439,0.0016439,0.0016439
9,80.2285,1.05241,0.95374,1.2752,0.12762,0.66667,0.12986,0.0836,1.14306,7.6289,1.54016,0.00164059,0.00164059,0.00164059
10,87.6521,1.01706,0.9043,1.28729,0.0031,0.4375,0.00214,0.0012,1.58956,inf,1.93087,0.00163729,0.00163729,0.00163729
11,95.8698,0.95901,0.88489,1.24696,0,0,0,0,2.80844,inf,2.72109,0.00163399,0.00163399,0.00163399
12,104.469,0.99973,0.84817,1.27849,0.00931,0.60417,0.007,0.00398,1.65382,55.1885,1.89007,0.00163069,0.00163069,0.00163069
13,113.061,0.93254,0.77312,1.22047,0.84753,0.97917,0.89335,0.64096,0.99339,0.93782,1.24034,0.00162739,0.00162739,0.00162739
14,120.939,0.95452,0.8197,1.21511,0.9265,1,0.96389,0.72709,0.90762,0.77358,1.1558,0.00162409,0.00162409,0.00162409
15,128.688,0.92381,0.80558,1.2047,0.93932,1,0.99045,0.79397,0.84549,0.74928,1.16622,0.00162079,0.00162079,0.00162079
16,136.839,0.923,0.77875,1.2236,0.92291,0.9977,0.97814,0.70383,1.03703,0.70882,1.33679,0.00161749,0.00161749,0.00161749
17,144.726,0.92189,0.79282,1.22256,0.88733,1,0.92523,0.66059,0.96028,1.16424,1.27032,0.00161419,0.00161419,0.00161419
18,152.549,0.90616,0.77396,1.20008,0.94117,0.99986,0.95853,0.75546,0.81526,3.68569,1.18266,0.00161089,0.00161089,0.00161089
19,160.328,0.87645,0.72883,1.18466,0.93423,1,0.94476,0.76365,0.81493,0.59703,1.07018,0.00160759,0.00160759,0.00160759
20,168.602,0.86315,0.73747,1.17165,0.93246,1,0.98257,0.78655,0.77956,0.70153,1.11262,0.00160429,0.00160429,0.00160429
21,176.408,0.91136,0.76261,1.22153,0.93965,1,0.98096,0.78911,0.76666,0.53545,1.109,0.00160099,0.00160099,0.00160099
22,184.173,0.82894,0.71359,1.15509,0.93112,0.9375,0.97461,0.79438,0.75405,0.59187,1.07339,0.00159769,0.00159769,0.00159769
23,191.966,0.84495,0.71021,1.16295,0.92638,1,0.95368,0.79475,0.68322,0.59337,0.9998,0.00159439,0.00159439,0.00159439
24,199.851,0.86344,0.70165,1.16457,0.92955,1,0.94735,0.78198,0.74955,0.54529,1.05836,0.00159108,0.00159108,0.00159108
25,207.878,0.84519,0.68489,1.16713,0.8861,1,0.96917,0.74962,0.80487,0.53739,1.12551,0.00158778,0.00158778,0.00158778
26,215.929,0.86776,0.7005,1.17529,0.93654,1,0.94674,0.75795,0.80136,0.52207,1.05005,0.00158448,0.00158448,0.00158448
27,224.014,0.84522,0.66173,1.18089,0.93816,1,0.94888,0.77671,0.67024,0.52231,0.98894,0.00158118,0.00158118,0.00158118
28,232.177,0.82824,0.67734,1.15292,0.91033,0.97917,0.95595,0.79586,0.74845,0.6136,1.07944,0.00157788,0.00157788,0.00157788
29,240.044,0.81003,0.62067,1.15599,0.89738,1,0.95447,0.74304,0.7841,0.61781,1.14804,0.00157458,0.00157458,0.00157458
30,247.873,0.7939,0.64683,1.14494,0.94028,1,0.99212,0.82006,0.71173,0.46155,1.04986,0.00157128,0.00157128,0.00157128
31,255.657,0.81652,0.65261,1.17855,0.93987,1,0.97647,0.79452,0.75652,0.50087,1.06932,0.00156798,0.00156798,0.00156798
32,263.546,0.7998,0.61644,1.15469,0.939,1,0.9843,0.83034,0.71426,0.50843,1.05775,0.00156468,0.00156468,0.00156468
33,271.348,0.80897,0.63817,1.13568,0.92844,1,0.94265,0.71337,0.73261,0.5729,1.11154,0.00156138,0.00156138,0.00156138
34,279.113,0.8145,0.63877,1.16143,0.91889,1,0.95952,0.76285,0.77641,0.49302,1.1426,0.00155808,0.00155808,0.00155808
35,286.953,0.75802,0.60359,1.1176,0.92419,1,0.95785,0.77761,0.73161,0.4855,1.11904,0.00155478,0.00155478,0.00155478
36,294.971,0.76942,0.59118,1.11778,0.93817,1,0.95405,0.79556,0.72252,0.4863,1.06575,0.00155148,0.00155148,0.00155148
37,302.958,0.78766,0.60325,1.15936,0.93163,1,0.99094,0.80492,0.71619,0.46434,1.02206,0.00154818,0.00154818,0.00154818
38,310.846,0.7722,0.60309,1.12232,0.93981,1,0.95088,0.78007,0.7244,0.4651,1.05119,0.00154488,0.00154488,0.00154488
39,318.801,0.74502,0.59643,1.11721,0.94838,1,0.9678,0.83024,0.69683,0.44774,1.06005,0.00154157,0.00154157,0.00154157
40,327.059,0.75352,0.57883,1.11432,0.95618,1,0.98704,0.84849,0.62142,0.42551,0.99606,0.00153827,0.00153827,0.00153827
41,334.917,0.75892,0.55814,1.12579,0.94055,1,0.98717,0.84187,0.61819,0.44451,0.99042,0.00153497,0.00153497,0.00153497
42,342.581,0.73481,0.54356,1.11538,0.9795,0.99574,0.99255,0.79985,0.77866,0.57155,1.09281,0.00153167,0.00153167,0.00153167
43,350.389,0.77181,0.59262,1.12651,0.93791,1,0.98093,0.82043,0.66855,0.45014,0.98191,0.00152837,0.00152837,0.00152837
44,358.791,0.7441,0.56987,1.11853,0.91812,1,0.97434,0.79404,0.74719,0.50202,1.12174,0.00152507,0.00152507,0.00152507
45,367.077,0.74949,0.56017,1.1154,0.90909,1,0.98279,0.81857,0.72405,0.48956,1.08919,0.00152177,0.00152177,0.00152177
46,375.234,0.73046,0.54554,1.11942,0.92381,1,0.97461,0.82029,0.70811,0.49521,1.1278,0.00151847,0.00151847,0.00151847
47,383.297,0.75642,0.5726,1.12728,0.9356,1,0.95654,0.80605,0.68425,0.42387,1.06131,0.00151517,0.00151517,0.00151517
48,391.225,0.73022,0.57735,1.11779,0.93595,1,0.98589,0.82117,0.73596,0.4581,1.09463,0.00151187,0.00151187,0.00151187
49,399.095,0.75933,0.55097,1.11055,0.93776,1,0.96029,0.81638,0.62862,0.43075,1.02736,0.00150857,0.00150857,0.00150857
50,407.028,0.73159,0.58484,1.12275,0.95643,1,0.98845,0.84591,0.61425,0.39325,1.01561,0.00150527,0.00150527,0.00150527
51,415.653,0.68471,0.53973,1.08321,0.92428,1,0.97736,0.81077,0.66997,0.44812,1.00573,0.00150197,0.00150197,0.00150197
52,427.806,0.71977,0.56937,1.10848,0.93962,1,0.98678,0.85149,0.64576,0.44467,0.96041,0.00149867,0.00149867,0.00149867
53,442.292,0.7281,0.57386,1.09142,0.93909,1,0.9677,0.8248,0.64573,0.44587,1.00977,0.00149537,0.00149537,0.00149537
54,456.053,0.7124,0.56762,1.10362,0.94912,1,0.97891,0.82753,0.66702,0.42877,1.04322,0.00149207,0.00149207,0.00149207
